Player,Team,League,Pivot_Master,Maestro,Box_to_Box,Age,Nationality,Height,Foot,Market Value,Contract Until,Position,Annual Salary,Release Clause,Diez,Space_Invader,Key_Passer,Creative_Winger,Falso_Nueve,Aerial_Dominator,Lethal_Striker,Valverde_Score
Görkem Sağlam,Hatayspor,Süper_Lig,38.8,38.8,42.6,27.0,"Türkiye, Germany","1,78m",right,€1.100.000,"Jun 30, 2026",Central Midfield,€600.000.00,€0,,,,,,,,40.1
Riley McGree,Middlesbrough,Championship,38.8,37.6,38.2,26.0,Australia,"1,78m",left,€3.500.000,"Jun 30, 2028",Central Midfield,€925.057.00,€0,,,,,,,,38.2
Adil Aouchiche,Portsmouth,Championship,38.7,35.8,39.9,22.0,"France, Algeria","1,81m",right,€2.500.000,"May 31, 2025",Attacking Midfield,€431.693.00,€0,,,,,,,,38.1
Matt Crooks,Hull_City,Championship,38.6,36.8,37.8,31.0,England,"1,91m",right,€1.500.000,"Jun 30, 2027",Attacking Midfield,€1.079.233.00,€0,,,,,,,,37.7
Pep Biel,Charlotte,MLS,38.6,36.2,38.3,28.0,Spain,"1,72m",left,€3.000.000,"Aug 1, 2025",Attacking Midfield,€1.730.043.00,€0,,,,,,,,37.7
Ahmet Aslan,BB_Bodrumspor,Süper_Lig,38.3,38.3,41.8,23.0,Türkiye,"1,79m",right,€0,"Jun 30, 2028",Defensive Midfield,€250.000.00,€0,,,,,,,,39.5
Stuart Armstrong,Sheffield_Wednesday,Championship,37.8,36.1,36.5,33.0,Scotland,"1,83m",right,€1.500.000,-,Central Midfield,€1.233.409.00,€0,,,,,,,,36.8
Jack Skahan,SJ_Earthquakes,MLS,37.7,36.6,39.3,27.0,United States,"1,78m",,€0,"Dec 31, 2025",Central Midfield,€132.401.00,€0,,,,,,,,37.9
Mario Lemina,Galatasaray,Süper_Lig,37.6,37.6,40.8,31.0,"Gabon, France","1,84m",right,€7.500.000,"Jun 30, 2026",Defensive Midfield,€2.080.000.00,€0,,,,,,,,38.7
Amankwah Forson,Norwich_City,Championship,37.6,36.0,35.8,22.0,Ghana,"1,73m",left,€4.500.000,"Jun 30, 2028",Central Midfield,€1.079.233.00,€0,,,,,,,,36.5
Isaac Solet,Göztepe,Süper_Lig,37.6,37.6,40.8,,,,,,,,€250.000.00,€0,,,,,,,,38.7
Celil Yüksel,Samsunspor,Süper_Lig,36.9,36.9,39.8,27.0,Türkiye,"1,71m",right,€0,"Jun 30, 2027",Central Midfield,€500.000.00,€0,,,,,,,,37.9
Lamine Fanne,Luton_Town,Championship,36.9,35.5,35.2,21.0,"Spain, Senegal","1,85m",right,€4.000.000,"Jun 30, 2029",Defensive Midfield,€308.352.00,€0,,,,,,,,35.9
Victor Hugo,Göztepe,Süper_Lig,36.2,36.2,38.8,,,,,,,,€500.000.00,€0,,,,,,,,37.1
Dal Varesanovic,Rizespor,Süper_Lig,35.9,35.9,38.4,23.0,"Bosnia-Herzegovina, Croatia","1,77m",right,€2.500.000,"Jun 30, 2026",Attacking Midfield,€600.000.00,€0,,,,,,,,36.7
Bünyamin Balat,Adana_Demirspor,Süper_Lig,35.8,35.8,38.4,28.0,"Türkiye, Germany","1,75m",left,€0,"Jun 30, 2026",Attacking Midfield,€250.000.00,€0,,,,,,,,36.7
Nabil Alioui,Adana_Demirspor,Süper_Lig,35.8,35.8,38.4,26.0,"France, Morocco","1,75m",right,€2.000.000,"Jun 30, 2026",Attacking Midfield,€900.000.00,€0,,,,,,,,36.7
Baran Gezek,Kayserispor,Süper_Lig,35.5,35.5,37.9,19.0,Türkiye,"1,82m",right,€0,"Jun 30, 2028",Defensive Midfield,€50.000.00,€0,,,,,,,,36.3
Yalçın Kayan,Eyüpspor,Süper_Lig,35.5,35.5,37.9,,,,,,,,,,,,,,,,,36.3
Alex Pritchard,Sivasspor,Süper_Lig,35.5,35.5,37.9,32.0,England,"1,68m",right,€0,"Jun 30, 2026",Attacking Midfield,€750.000.00,€0,,,,,,,,36.3
Doğan Erdoğan,Göztepe,Süper_Lig,34.8,34.8,36.9,,,,,,,,€330.000.00,€0,,,,,,,,35.5
Rui Pedro,Hatayspor,Süper_Lig,34.2,34.2,36.0,27.0,Portugal,"1,82m",right,€0,"Jun 30, 2026",Attacking Midfield,€480.000.00,€0,,,,,,,,34.8
İsmail Köybaşı,Göztepe,Süper_Lig,34.1,34.1,35.9,,,,,,,,€170.000.00,€0,,,,,,,,34.7
Tolga Ciğerci,Sivasspor,Süper_Lig,34.1,34.1,35.9,33.0,"Türkiye, Germany","1,85m",right,€0,"Jun 30, 2025",Defensive Midfield,€420.000.00,€0,,,,,,,,34.7
Cafú,Kasımpaşa,Süper_Lig,34.1,34.1,35.9,,,,,,,,€450.000.00,€0,,,,,,,,34.7
Achilleas Poungouras,Sivasspor,Süper_Lig,34.1,34.1,35.9,29.0,Greece,"1,87m",right,€0,"Jun 30, 2025",Defensive Midfield,€500.000.00,€0,,,,,,,,34.7
Fredrik Midtsjø,Eyüpspor,Süper_Lig,33.4,33.4,34.9,,,,,,,,,,,,,,,,,33.9
Ogün Özçiçek,Gaziantep_FK,Süper_Lig,33.4,33.4,34.9,26.0,Türkiye,"1,72m",right,€0,"Jun 30, 2027",Defensive Midfield,€330.000.00,€0,,,,,,,,33.9
Antonín Barák,Kasımpaşa,Süper_Lig,32.8,32.8,33.9,,,,,,,,€2.500.000.00,€0,,,,,,,,33.2
Tonny Vilhena,Alanyaspor,Süper_Lig,32.8,32.8,33.9,30.0,"Netherlands, Angola","1,75m",left,€1.500.000,"Jun 30, 2025",Central Midfield,€1.670.000.00,€0,,,,,,,,33.2
Alex Oxlade-Chamberlain,Beşiktaş,Süper_Lig,32.8,32.8,33.9,,,,,,,,,,,,,,,,,33.2
Soner Aydoğdu,Samsunspor,Süper_Lig,32.8,32.8,33.9,34.0,Türkiye,"1,80m",left,€0,"Jun 30, 2026",Central Midfield,€520.000.00,€0,,,,,,,,33.2
Muhammed Cham,Trabzonspor,Süper_Lig,32.5,32.5,33.6,24.0,Austria,"1,80m",left,€5.500.000,"Jun 30, 2028",Attacking Midfield,€2.300.000.00,€0,,,,,,,,32.9
Talisca,Fenerbahçe,Süper_Lig,31.4,31.4,32.0,,,,,,,,€6.670.000.00,€0,,,,,,,,31.6
Emmanuel Boateng,Gaziantep_FK,Süper_Lig,30.7,30.7,31.0,,,,,,,,€830.000.00,€0,,,,,,,,30.8
Berkay Özcan,Başakşehir,Süper_Lig,30.7,30.7,31.0,,,,,,,,,,,,,,,,,30.8
Enis Bardhi,BB_Bodrumspor,Süper_Lig,30.7,30.7,31.0,29.0,North Macedonia,"1,72m",right,€3.700.000,"Jun 30, 2025",Attacking Midfield,€1.670.000.00,€0,,,,,,,,30.8
Joe Ward,Derby_County,Championship,30.0,30.0,30.0,29.0,England,"1,67m",right,€0,"Jun 30, 2026",Right Midfield,€308.352.00,€0,,,,,,,,30.0
Felipe Carballo,NY_Red_Bulls,MLS,30.0,30.0,30.0,28.0,"Uruguay, Italy","1,77m",right,€4.500.000,"Jun 30, 2025",Central Midfield,€900.329.00,€0,,,,,,,,30.0
Jeff Hendrick,Derby_County,Championship,30.0,30.0,30.0,33.0,Ireland,"1,85m",right,€0,"Jun 30, 2025",Central Midfield,,,,,,,,,,30.0
Patrick Yazbek,Nashville_SC,MLS,30.0,30.0,30.0,23.0,Australia,"1,83m",right,€2.500.000,"Dec 31, 2027",Central Midfield,€331.003.00,€0,,,,,,,,30.0
Jeremy Rafanello,Philadelphia_Union,MLS,30.0,30.0,30.0,25.0,United States,"1,83m",right,€0,"Dec 31, 2026",Attacking Midfield,€88.268.00,€0,,,,,,,,30.0
Cavan Sullivan,Philadelphia_Union,MLS,30.0,30.0,30.0,15.0,"United States, Germany","1,70m",left,€0,"Dec 31, 2028",Attacking Midfield,€176.535.00,€0,,,,,,,,30.0
Marselino Ferdinan,Oxford_United,Championship,30.0,30.0,30.0,20.0,Indonesia,"1,78m",right,€0,"Jun 30, 2026",Attacking Midfield,€185.011.00,€0,,,,,,,,30.0
David Vazquez,Philadelphia_Union,MLS,30.0,30.0,30.0,19.0,United States,"1,75m",left,€0,"Dec 31, 2027",Right Midfield,€63.024.00,€0,,,,,,,,30.0
Stiven Jimenez,FC_Cincinnati,MLS,30.0,30.0,30.0,17.0,"Mexico, United States","1,68m",right,€0,"Dec 31, 2025",Central Midfield,€79.190.00,€0,,,,,,,,30.0
Isaiah Jones,Nashville_SC,MLS,30.0,30.0,30.0,19.0,"Sierra Leone, United States","1,75m",,€0,"Dec 31, 2027",Central Midfield,€63.024.00,€0,,,,,,,,30.0
Marco Palestra,Atalanta,Serie_A,30.0,30.0,30.0,20.0,Italy,"1,86m",right,€3.000.000,-,Right Midfield,€220.000.00,€0,,,,,,,,30.0
Show,FC_Dallas,MLS,30.0,30.0,30.0,26.0,Angola,"1,78m",right,€0,"Jun 30, 2025",Defensive Midfield,€407.796.00,€0,,,,,,,,30.0
Nikola Petković,Charlotte,MLS,30.0,30.0,30.0,22.0,Serbia,"1,81m",right,€2.500.000,"Dec 31, 2026",Defensive Midfield,€317.763.00,€0,,,,,,,,30.0
Paxton Pomykal,FC_Dallas,MLS,30.0,30.0,30.0,25.0,United States,"1,72m",,€2.500.000,"Dec 31, 2026",Attacking Midfield,€838.541.00,€0,,,,,,,,30.0
Daniel Maldini,Atalanta,Serie_A,30.0,30.0,30.0,23.0,"Italy, Venezuela","1,88m",right,€10.000.000,"Jun 30, 2029",Attacking Midfield,€2.040.000.00,€0,,,,,,,,30.0
Josh Laurent,Stoke_City,Championship,30.0,30.0,30.0,,,,,,,,,,,,,,,,,30.0
Adil Aouchiche,Sunderland,Championship,30.0,30.0,30.0,,,,,,,,,,,,,,,,,30.0
Rida Zouhir,CF_Montréal,MLS,30.0,30.0,30.0,,,,,,,,,,,,,,,,,30.0
Jonjo Shelvey,Burnley,Championship,30.0,30.0,30.0,33.0,"England, Ireland","1,84m",right,€1.300.000,"Jun 30, 2025",Central Midfield,€925.057.00,€0,,,,,,,,30.0
Cruz Medina,SJ_Earthquakes,MLS,30.0,30.0,30.0,18.0,"United States, Mexico","1,75m",right,€0,"Dec 31, 2025",Central Midfield,€0.00,€0,,,,,,,,30.0
Tucker Lepley,LA_Galaxy,MLS,30.0,30.0,30.0,23.0,United States,"1,63m",,€0,"Dec 31, 2025",Defensive Midfield,€63.024.00,€0,,,,,,,,30.0
Isaiah Parente,LA_Galaxy,MLS,30.0,30.0,30.0,25.0,"United States, Italy","1,75m",right,€0,"Dec 31, 2025",Central Midfield,€63.024.00,€0,,,,,,,,30.0
Rubén Ramos,LA_Galaxy,MLS,30.0,30.0,30.0,18.0,"United States, Mexico","1,75m",right,€0,"Dec 31, 2027",Attacking Midfield,€0.00,€0,,,,,,,,30.0
Ibrahim Sulemana,Atalanta,Serie_A,30.0,30.0,30.0,21.0,Ghana,"1,80m",right,€6.000.000,"Jun 30, 2028",Defensive Midfield,€930.000.00,€0,,,,,,,,30.0
Caleb Roberts,Plymouth_Argyle,Championship,30.0,30.0,30.0,19.0,England,-,,€0,"Jun 30, 2028",Attacking Midfield,€123.341.00,€0,,,,,,,,30.0
Malachi Boateng,Plymouth_Argyle,Championship,30.0,30.0,30.0,22.0,"England, Ghana","1,82m",right,€0,"Jun 30, 2028",Defensive Midfield,€308.352.00,€0,,,,,,,,30.0
Michael Baidoo,Plymouth_Argyle,Championship,30.0,30.0,30.0,25.0,Ghana,"1,74m",right,€3.500.000,"Jun 30, 2028",Attacking Midfield,€770.881.00,€0,,,,,,,,30.0
Wayne Frederick,Colorado_Rapids,MLS,30.0,30.0,30.0,20.0,"Trinidad and Tobago, United States","1,83m",,€0,"Dec 31, 2026",Central Midfield,€63.024.00,€0,,,,,,,,30.0
Liam Gibbs,Norwich_City,Championship,30.0,30.0,30.0,22.0,England,"1,78m",right,€2.200.000,"Jun 30, 2028",Central Midfield,€370.023.00,€0,,,,,,,,30.0
Luke Brennan,Atlanta_Utd,MLS,30.0,30.0,30.0,20.0,United States,"1,80m",,€0,"Dec 31, 2027",Right Midfield,€63.024.00,€0,,,,,,,,30.0
Pierre Dwomoh,Watford,Championship,30.0,30.0,30.0,20.0,"Belgium, Ghana","1,88m",right,€2.500.000,"Jun 30, 2028",Central Midfield,€462.528.00,€0,,,,,,,,30.0
Jake Girdwood-Reich,St_Louis,MLS,30.0,30.0,30.0,20.0,"Australia, Germany","1,86m",right,€0,"Jun 30, 2027",Defensive Midfield,€234.968.00,€0,,,,,,,,30.0
Beau Leroux,SJ_Earthquakes,MLS,30.0,30.0,30.0,21.0,United States,"1,83m",,€0,"Dec 31, 2025",Central Midfield,€0.00,€0,,,,,,,,30.0
Alfie Massey,Millwall,Championship,30.0,30.0,30.0,19.0,England,"1,83m",right,€0,-,Central Midfield,€61.670.00,€0,,,,,,,,30.0
Jacob Arroyave,New_York_City_FC,MLS,30.0,30.0,30.0,17.0,"United States, Colombia",-,,€0,"Dec 31, 2027",Central Midfield,€0.00,€0,,,,,,,,30.0
Daniel Kelly,Millwall,Championship,30.0,30.0,30.0,19.0,Scotland,"1,80m",right,€0,-,Central Midfield,€92.506.00,€0,,,,,,,,30.0
Ryan Wintle,Millwall,Championship,30.0,30.0,30.0,27.0,England,"1,80m",right,€3.800.000,"May 31, 2025",Defensive Midfield,€740.046.00,€0,,,,,,,,30.0
Abdoulaye Kamara,Portsmouth,Championship,30.0,30.0,30.0,20.0,"Guinea, France","1,85m",right,€0,"Jun 30, 2028",Defensive Midfield,€246.682.00,€0,,,,,,,,30.0
Marco Reus,LA_Galaxy,MLS,30.0,30.0,30.0,35.0,Germany,"1,80m",right,€2.500.000,"Dec 31, 2026",Attacking Midfield,€847.368.00,€0,,,,,,,,30.0
Ryan Howley,Coventry_City,Championship,30.0,30.0,30.0,21.0,"Wales, England","1,87m",right,€0,"Jun 30, 2025",Central Midfield,€92.506.00,€0,,,,,,,,30.0
Aaron Ramsey,Burnley,Championship,30.0,30.0,30.0,22.0,England,"1,81m",right,€10.000.000,"Jun 30, 2028",Attacking Midfield,€1.541.762.00,€0,,,,,,,,30.0
Josuha Guilavogui,Leeds_United,Championship,30.0,30.0,30.0,34.0,"France, Guinea","1,88m",right,€0,"Jun 30, 2025",Defensive Midfield,€925.057.00,€0,,,,,,,,30.0
Omari Glasgow,Chicago_Fire,MLS,30.0,30.0,30.0,21.0,Guyana,"1,75m",right,€0,"Dec 31, 2026",Right Midfield,€0.00,€0,,,,,,,,30.0
Joaquín Pereyra,Minnesota_Utd,MLS,30.0,30.0,30.0,26.0,Argentina,"1,81m",left,€2.500.000,"Dec 31, 2027",Central Midfield,,,,,,,,,,30.0
Nicolò Zaniolo,Atalanta,Serie_A,30.0,30.0,30.0,,,,,,,,,,,,,,,,,30.0
Harry Vaughan,Hull_City,Championship,30.0,30.0,30.0,21.0,"Ireland, England","1,70m",right,€0,"Jun 30, 2026",Attacking Midfield,€74.005.00,€0,,,,,,,,30.0
Brooklyn Raines,Houston_Dynamo,MLS,30.0,30.0,30.0,20.0,"United States, Liberia","1,73m",,€0,"Dec 31, 2025",Central Midfield,€88.268.00,€0,,,,,,,,30.0
Eliot Matazo,Hull_City,Championship,30.0,30.0,30.0,23.0,"Belgium, DR Congo","1,70m",right,€3.000.000,"Jun 30, 2028",Central Midfield,€925.057.00,€0,,,,,,,,30.0
Lincoln,Hull_City,Championship,30.0,30.0,30.0,26.0,Brazil,"1,78m",left,€4.000.000,"Jun 30, 2025",Attacking Midfield,€1.449.256.00,€0,,,,,,,,30.0
Óscar Zambrano,Hull_City,Championship,30.0,30.0,30.0,21.0,Ecuador,"1,76m",,€2.800.000,"Jun 30, 2025",Defensive Midfield,€462.528.00,€0,,,,,,,,30.0
Alhassan Yusuf,NE_Revolution,MLS,30.0,30.0,30.0,24.0,Nigeria,"1,73m",right,€3.000.000,"Dec 31, 2027",Central Midfield,€706.140.00,€0,,,,,,,,30.0
Jack Burroughs,Coventry_City,Championship,30.0,30.0,30.0,24.0,"Scotland, England","1,88m",right,€0,"Jun 30, 2025",Right Midfield,€215.847.00,€0,,,,,,,,30.0
Boris Enow,D.C_United,MLS,30.0,30.0,30.0,25.0,Cameroon,"1,80m",left,€1.800.000,"Dec 31, 2027",Central Midfield,€517.155.00,€0,,,,,,,,30.0
Lorent Talla,Queens_Park_Rangers,Championship,30.0,30.0,30.0,20.0,"Kosovo, Albania","1,78m",left,€0,-,Central Midfield,€92.506.00,€0,,,,,,,,30.0
Nathaniel Edwards,Toronto_FC,MLS,30.0,30.0,30.0,22.0,"Canada, Jamaica",-,,€0,"Dec 31, 2025",Left Midfield,€63.024.00,€0,,,,,,,,30.0
Jamie Paterson,Coventry_City,Championship,30.0,30.0,30.0,33.0,"England, Scotland","1,75m",right,€0,"Jun 30, 2025",Attacking Midfield,,,,,,,,,,30.0
Kasey Palmer,Coventry_City,Championship,30.0,30.0,30.0,,,,,,,,,,,,,,,,,30.0
Nathaniel Chalobah,Sheffield_Wednesday,Championship,30.0,30.0,30.0,30.0,"England, Sierra Leone","1,85m",right,€1.000.000,-,Defensive Midfield,€1.233.409.00,€0,,,,,,,,30.0
Markus Cimermancic,Toronto_FC,MLS,30.0,30.0,30.0,20.0,"Canada, Slovenia","1,85m",,€0,"Dec 31, 2026",Central Midfield,€0.00,€0,,,,,,,,30.0
Brandon Servania,Toronto_FC,MLS,30.0,30.0,30.0,,,,,,,,,,,,,,,,,30.0
Scott Twine,Burnley,Championship,30.0,30.0,30.0,,,,,,,,,,,,,,,,,30.0
Tristan Schenkhuizen,Fortuna_Sittard,Eredivisie,30.0,30.0,30.0,20.0,Netherlands,"1,78m",left,€0,"Jun 30, 2025",Defensive Midfield,€70.000.00,€0,,,,,,,,30.0
Cole Mrowka,Columbus_Crew,MLS,30.0,30.0,30.0,19.0,"United States, Poland",-,both,€0,"Dec 31, 2026",Central Midfield,€63.024.00,€0,,,,,,,,30.0
Niklas Dorsch,Augsburg,Bundesliga,30.0,30.0,30.0,,,,,,,,,,,,,,,,,30.0
Jean Onana,Genoa,Serie_A,30.0,30.0,30.0,25.0,Cameroon,"1,89m",right,€3.000.000,"Jun 30, 2025",Defensive Midfield,€1.390.000.00,€0,,,,,,,,30.0
Ruslan Malinovskyi,Genoa,Serie_A,30.0,30.0,30.0,32.0,Ukraine,"1,81m",left,€3.500.000,"Jun 30, 2027",Attacking Midfield,€1.280.000.00,€0,,,,,,,,30.0
Lennard Maloney,Mainz_05,Bundesliga,30.0,30.0,30.0,25.0,"United States, Germany","1,88m",right,€5.000.000,"Jun 30, 2028",Defensive Midfield,€1.320.000.00,€0,,,,,,,,30.0
Skelly Alvero,Werder_Bremen,Bundesliga,30.0,30.0,30.0,23.0,"France, Angola","2,02m",right,€3.000.000,"Jun 30, 2028",Defensive Midfield,€850.000.00,€0,,,,,,,,30.0
Edoardo Bove,Roma,Serie_A,30.0,30.0,30.0,,,,,,,,,,,,,,,,,30.0
Mert Kömür,Augsburg,Bundesliga,30.0,30.0,30.0,19.0,"Germany, Türkiye","1,83m",both,€5.000.000,"Jun 30, 2027",Attacking Midfield,€120.000.00,€0,,,,,,,,30.0
Mahmut Kücüksahin,Augsburg,Bundesliga,30.0,30.0,30.0,21.0,"Türkiye, Germany","1,82m",right,€0,"Jun 30, 2027",Defensive Midfield,€120.000.00,€0,,,,,,,,30.0
Philip Billing,Napoli,Serie_A,30.0,30.0,30.0,28.0,"Denmark, Nigeria","1,93m",left,€12.000.000,"Jun 30, 2025",Central Midfield,€1.850.000.00,€0,,,,,,,,30.0
Lucas Gourna-Douath,Roma,Serie_A,30.0,30.0,30.0,21.0,"France, Central African Republic","1,85m",right,€8.000.000,"Jun 30, 2025",Defensive Midfield,€320.000.00,€0,,,,,,,,30.0
Johan Manzambi,Freiburg,Bundesliga,30.0,30.0,30.0,19.0,Switzerland,"1,82m",right,€0,"Jun 30, 2028",Central Midfield,€170.000.00,€0,,,,,,,,30.0
Koji Miyoshi,Bochum,Bundesliga,30.0,30.0,30.0,28.0,Japan,"1,67m",left,€1.800.000,"Jun 30, 2028",Right Midfield,€760.000.00,€0,,,,,,,,30.0
Mats Pannewig,Bochum,Bundesliga,30.0,30.0,30.0,20.0,Germany,"1,95m",,€0,"Jun 30, 2026",Central Midfield,€120.000.00,€0,,,,,,,,30.0
Salih Özcan,Dortmund,Bundesliga,30.0,30.0,30.0,27.0,"Türkiye, Germany","1,83m",right,€5.000.000,"Jun 30, 2026",Defensive Midfield,€3.780.000.00,€0,,,,,,,,30.0
Carney Chukwuemeka,Dortmund,Bundesliga,30.0,30.0,30.0,21.0,"England, Nigeria","1,88m",right,€15.000.000,"Jun 30, 2025",Central Midfield,€3.110.000.00,€0,,,,,,,,30.0
Hugo Cuenca,Genoa,Serie_A,30.0,30.0,30.0,20.0,"Paraguay, Spain","1,83m",left,€0,-,Attacking Midfield,€110.000.00,€0,,,,,,,,30.0
Florian Micheler,Hoffenheim,Bundesliga,30.0,30.0,30.0,19.0,Austria,"1,85m",right,€0,"Jun 30, 2026",Central Midfield,€160.000.00,€0,,,,,,,,30.0
Niklas Swider,Monchengladbach,Bundesliga,30.0,30.0,30.0,18.0,Germany,"1,88m",right,€0,"Jun 30, 2027",Defensive Midfield,€170.000.00,€0,,,,,,,,30.0
Aster Vranckx,Wolfsburg,Bundesliga,30.0,30.0,30.0,22.0,"Belgium, DR Congo","1,83m",right,€9.000.000,"Jun 30, 2029",Central Midfield,€3.780.000.00,€0,,,,,,,,30.0
Gaetano Castrovilli,Monza,Serie_A,30.0,30.0,30.0,28.0,Italy,"1,87m",right,€3.500.000,"Jun 30, 2025",Central Midfield,€1.850.000.00,€0,,,,,,,,30.0
Kacper Urbanski,Monza,Serie_A,30.0,30.0,30.0,20.0,Poland,"1,83m",right,€7.000.000,"Jun 30, 2025",Central Midfield,€560.000.00,€0,,,,,,,,30.0
Marvin Schulz,Holstein_Kiel,Bundesliga,30.0,30.0,30.0,30.0,Germany,"1,86m",right,€0,"Jun 30, 2025",Defensive Midfield,€550.000.00,€0,,,,,,,,30.0
Mahmoud Dahoud,Eintracht_Frankfurt,Bundesliga,30.0,30.0,30.0,29.0,"Syria, Germany","1,78m",right,€5.000.000,"Jun 30, 2026",Central Midfield,€3.200.000.00,€0,,,,,,,,30.0
Junior Dina Ebimbe,Eintracht_Frankfurt,Bundesliga,30.0,30.0,30.0,24.0,"France, Cameroon","1,84m",right,€7.000.000,"Jun 30, 2027",Right Midfield,,,,,,,,,,30.0
Luis Hasa,Napoli,Serie_A,30.0,30.0,30.0,21.0,"Italy, Albania","1,72m",right,€1.000.000,"Jun 30, 2029",Central Midfield,€560.000.00,€0,,,,,,,,30.0
Salih Özcan,Wolfsburg,Bundesliga,30.0,30.0,30.0,,,,,,,,,,,,,,,,,30.0
Grischa Prömel,Hoffenheim,Bundesliga,30.0,30.0,30.0,30.0,Germany,"1,84m",right,€4.500.000,"Jun 30, 2026",Central Midfield,€840.000.00,€0,,,,,,,,30.0
Lovro Majer,Wolfsburg,Bundesliga,30.0,30.0,30.0,27.0,Croatia,"1,78m",left,€20.000.000,"Jun 30, 2028",Attacking Midfield,€4.720.000.00,€0,,,,,,,,30.0
Kevin Paredes,Wolfsburg,Bundesliga,30.0,30.0,30.0,21.0,"United States, Dominican Republic","1,75m",left,€7.500.000,"Jun 30, 2026",Left Midfield,€900.000.00,€0,,,,,,,,30.0
Bennit Bröger,Wolfsburg,Bundesliga,30.0,30.0,30.0,18.0,Germany,"1,81m",,€0,"Jun 30, 2025",Attacking Midfield,€120.000.00,€0,,,,,,,,30.0
Gianluca Gaetano,Napoli,Serie_A,30.0,30.0,30.0,,,,,,,,,,,,,,,,,30.0
Michael Folorunsho,Napoli,Serie_A,30.0,30.0,30.0,,,,,,,,,,,,,,,,,30.0
Umut Tohumcu,Hoffenheim,Bundesliga,30.0,30.0,30.0,20.0,"Germany, Türkiye","1,75m",right,€7.000.000,"Jun 30, 2028",Central Midfield,€570.000.00,€0,,,,,,,,30.0
Julian Niehues,Heidenheim,Bundesliga,30.0,30.0,30.0,24.0,Germany,"1,95m",right,€1.500.000,"Jun 30, 2027",Defensive Midfield,€420.000.00,€0,,,,,,,,30.0
Norman Theuerkauf,Heidenheim,Bundesliga,30.0,30.0,30.0,38.0,Germany,"1,83m",left,€0,"Jun 30, 2025",Defensive Midfield,€420.000.00,€0,,,,,,,,30.0
Luka Janes,Heidenheim,Bundesliga,30.0,30.0,30.0,21.0,"Germany, Croatia","1,83m",right,€0,"Jun 30, 2028",Defensive Midfield,€220.000.00,€0,,,,,,,,30.0
Zinédine Ould Khaled,Angers,Ligue_1,30.0,30.0,30.0,25.0,"France, Algeria","1,95m",right,€0,"Jun 30, 2025",Defensive Midfield,€150.000.00,€0,,,,,,,,30.0
Miha Zajc,Toulouse,Ligue_1,30.0,30.0,30.0,30.0,Slovenia,"1,78m",right,€1.800.000,"Jun 30, 2025",Central Midfield,€1.820.000.00,€0,,,,,,,,30.0
Mathis Saka,Toulouse,Ligue_1,30.0,30.0,30.0,18.0,France,"1,72m",right,€0,"Jun 30, 2029",Attacking Midfield,,,,,,,,,,30.0
Lamine Fomba,Saint_Etienne,Ligue_1,30.0,30.0,30.0,27.0,"France, Mali","1,88m",right,€0,"Jun 30, 2026",Defensive Midfield,€450.000.00,€0,,,,,,,,30.0
Drissa Camara,Parma,Serie_A,30.0,30.0,30.0,23.0,"Cote d'Ivoire, Italy","1,79m",right,€1.800.000,"Jun 30, 2025",Central Midfield,€170.000.00,€0,,,,,,,,30.0
Jakub Jankto,Cagliari,Serie_A,30.0,30.0,30.0,29.0,Czech Republic,"1,84m",left,€1.000.000,"Jun 30, 2025",Left Midfield,€1.850.000.00,€0,,,,,,,,30.0
Pierrick Capelle,Angers,Ligue_1,30.0,30.0,30.0,38.0,France,"1,81m",left,€0,"Jun 30, 2025",Central Midfield,€540.000.00,€0,,,,,,,,30.0
Amine Harit,Marseille,Ligue_1,30.0,30.0,30.0,27.0,"Morocco, France","1,80m",right,€10.000.000,"Jun 30, 2027",Attacking Midfield,€3.100.000.00,€0,,,,,,,,30.0
Naj Razi,Como,Serie_A,30.0,30.0,30.0,18.0,"Ireland, Algeria","1,75m",both,€0,"Jun 30, 2026",Attacking Midfield,€170.000.00,€0,,,,,,,,30.0
Bilal Nadir,Marseille,Ligue_1,30.0,30.0,30.0,21.0,"Morocco, France","1,79m",left,€5.000.000,"Jun 30, 2026",Central Midfield,€270.000.00,€0,,,,,,,,30.0
Ismaël Koné,Marseille,Ligue_1,30.0,30.0,30.0,,,,,,,,,,,,,,,,,30.0
Darryl Bakola,Marseille,Ligue_1,30.0,30.0,30.0,17.0,"France, Congo","1,78m",right,€0,"Jun 30, 2027",Attacking Midfield,€140.000.00,€0,,,,,,,,30.0
Paul Akouokou,Lyon,Ligue_1,30.0,30.0,30.0,27.0,Cote d'Ivoire,"1,81m",right,€0,"Jun 30, 2027",Defensive Midfield,€750.000.00,€0,,,,,,,,30.0
Mahamadou Diawara,Lyon,Ligue_1,30.0,30.0,30.0,,,,,,,,,,,,,,,,,30.0
Alessandro Bianco,Fiorentina,Serie_A,30.0,30.0,30.0,,,,,,,,,,,,,,,,,30.0
Niklas Schmidt,Toulouse,Ligue_1,30.0,30.0,30.0,27.0,Germany,"1,84m",both,€2.000.000,"Jun 30, 2027",Central Midfield,€570.000.00,€0,,,,,,,,30.0
Rafik Messali,Toulouse,Ligue_1,30.0,30.0,30.0,22.0,"Algeria, France","1,77m",right,€0,"Jun 30, 2026",Right Midfield,,,,,,,,,,30.0
